GT170 GHz magnetic field and derivatives for I1,..,I5=61.56 66.45 113.43 108.09  [A]
------------------------------------------------------------- 
Cathode is located in z_cat=0.136 [m] 
Cavity  is located in z_cav=0.49967 [m] 
 z [m]   Bz [T]   dBz/dz [T/m]    d2Bz/dz2 [T/m2]   Bz(r=25mm)   Br(r=25mm)   dBz/dz(r=25mm)  dBz/dr(r=25mm)   
 0.09200    0.23382     -0.45144        2.79978      0.23352       0.00634      -0.56327      -0.01392   
 0.09300    0.23337     -0.44827        3.53399      0.23295       0.00633      -0.56351      -0.02291   
 0.09400    0.23292     -0.44436        4.28980      0.23239       0.00630      -0.56303      -0.03217   
 0.09500    0.23248     -0.43969        5.06738      0.23183       0.00626      -0.56181      -0.04171   
 0.09600    0.23205     -0.43422        5.86693      0.23126       0.00622      -0.55984      -0.05154   
 0.09700    0.23161     -0.42795        6.68860      0.23071       0.00616      -0.55708      -0.06164   
 0.09800    0.23119     -0.42084        7.53257      0.23015       0.00609      -0.55351      -0.07204   
 0.09900    0.23077     -0.41287        8.39899      0.22960       0.00601      -0.54912      -0.08272   
 0.10000    0.23036     -0.40403        9.28801      0.22905       0.00593      -0.54387      -0.09369   
 0.10100    0.22997     -0.39429       10.19976      0.22851       0.00583      -0.53774      -0.10496   
 0.10200    0.22958     -0.38362       11.13439      0.22798       0.00572      -0.53070      -0.11651   
 0.10300    0.22920     -0.37201       12.09202      0.22745       0.00559      -0.52274      -0.12837   
 0.10400    0.22883     -0.35943       13.07277      0.22693       0.00546      -0.51383      -0.14052   
 0.10500    0.22848     -0.34586       14.07674      0.22642       0.00531      -0.50395      -0.15297   
 0.10600    0.22814     -0.33127       15.10404      0.22593       0.00515      -0.49306      -0.16572   
 0.10700    0.22782     -0.31564       16.15475      0.22544       0.00498      -0.48115      -0.17877   
 0.10800    0.22751     -0.29895       17.22897      0.22496       0.00480      -0.46819      -0.19212   
 0.10900    0.22722     -0.28118       18.32678      0.22450       0.00460      -0.45416      -0.20577   
 0.11000    0.22695     -0.26229       19.44823      0.22406       0.00438      -0.43903      -0.21973   
 0.11100    0.22670     -0.24227       20.59339      0.22362       0.00416      -0.42277      -0.23400   
 0.11200    0.22646     -0.22110       21.76231      0.22321       0.00392      -0.40536      -0.24856   
 0.11300    0.22625     -0.19874       22.95504      0.22281       0.00366      -0.38678      -0.26344   
